team1,team2,win
pet-ladybug,pet-sheep,1
pet-ladybug,pet-snail,2
pet-ladybug,pet-tropical-fish,1
pet-ladybug,pet-turtle,0
pet-ladybug,pet-whale,1
pet-ladybug,pet-bison,1
pet-ladybug,pet-buffalo,1
pet-ladybug,pet-deer,1
pet-ladybug,pet-dolphin,1
pet-ladybug,pet-hippo,1
pet-ladybug,pet-llama,1
pet-ladybug,pet-lobster,1
pet-ladybug,pet-monkey,0
pet-ladybug,pet-penguin,0
pet-ladybug,pet-poodle,2
pet-ladybug,pet-rooster,1
pet-ladybug,pet-skunk,1
pet-ladybug,pet-squirrel,2
pet-ladybug,pet-worm,2
pet-ladybug,pet-chicken,0
pet-ladybug,pet-cow,1
pet-ladybug,pet-crocodile,1
pet-ladybug,pet-eagle,1
pet-ladybug,pet-goat,1
pet-ladybug,pet-microbe,0
pet-ladybug,pet-parrot,1
pet-ladybug,pet-rhino,1
pet-ladybug,pet-scorpion,2
pet-ladybug,pet-seal,1
pet-ladybug,pet-turkey,1
pet-ladybug,pet-cat,1
pet-ladybug,pet-boar,1
pet-ladybug,pet-dragon,1
pet-ladybug,pet-fly,1
pet-ladybug,pet-gorilla,1
pet-ladybug,pet-leopard,1
pet-ladybug,pet-mammoth,1
pet-ladybug,pet-octopus,1
pet-ladybug,pet-sauropod,1
pet-ladybug,pet-snake,1
pet-ladybug,pet-tiger,1
pet-ladybug,pet-tyrannosaurus,1
pet-ladybug,pet-dirty-rat,0
pet-ladybug,pet-butterfly,2
pet-ladybug,pet-bee,0
pet-ladybug,pet-none,0
pet-mosquito,pet-mosquito,2
pet-mosquito,pet-otter,0
pet-mosquito,pet-pig,0
pet-mosquito,pet-sloth,0
pet-mosquito,pet-bat,2
pet-mosquito,pet-crab,2
pet-mosquito,pet-dodo,2
pet-mosquito,pet-dog,2
pet-mosquito,pet-dromedary,1
pet-mosquito,pet-elephant,1
pet-mosquito,pet-flamingo,0
pet-mosquito,pet-hedgehog,2
pet-mosquito,pet-peacock,1
pet-mosquito,pet-rat,1
pet-mosquito,pet-shrimp,2
pet-mosquito,pet-spider,1
pet-mosquito,pet-swan,0
pet-mosquito,pet-tabby-cat,2
pet-mosquito,pet-badger,1
pet-mosquito,pet-blowfish,1
pet-mosquito,pet-caterpillar,0
pet-mosquito,pet-camel,1
pet-mosquito,pet-hatching-chick,0
pet-mosquito,pet-giraffe,1
pet-mosquito,pet-kangaroo,0
pet-mosquito,pet-owl,2
pet-mosquito,pet-ox,2
pet-mosquito,pet-puppy,0
pet-mosquito,pet-rabbit,2
pet-mosquito,pet-sheep,1
pet-mosquito,pet-snail,2
pet-mosquito,pet-tropical-fish,1
pet-mosquito,pet-turtle,0
pet-mosquito,pet-whale,1
pet-mosquito,pet-bison,1
pet-mosquito,pet-buffalo,1
pet-mosquito,pet-deer,1
pet-mosquito,pet-dolphin,1
pet-mosquito,pet-hippo,1
pet-mosquito,pet-llama,1
pet-mosquito,pet-lobster,1
pet-mosquito,pet-monkey,0
pet-mosquito,pet-penguin,0
pet-mosquito,pet-poodle,2
pet-mosquito,pet-rooster,1
pet-mosquito,pet-skunk,1
pet-mosquito,pet-squirrel,2
pet-mosquito,pet-worm,2
pet-mosquito,pet-chicken,0
pet-mosquito,pet-cow,1
pet-mosquito,pet-crocodile,1
pet-mosquito,pet-eagle,1
pet-mosquito,pet-goat,1
pet-mosquito,pet-microbe,0
pet-mosquito,pet-parrot,2
pet-mosquito,pet-rhino,1
pet-mosquito,pet-scorpion,0
pet-mosquito,pet-seal,1
pet-mosquito,pet-turkey,1
pet-mosquito,pet-cat,1
pet-mosquito,pet-boar,1
pet-mosquito,pet-dragon,1
pet-mosquito,pet-fly,1
pet-mosquito,pet-gorilla,1
pet-mosquito,pet-leopard,1
pet-mosquito,pet-mammoth,1
pet-mosquito,pet-octopus,1
pet-mosquito,pet-sauropod,1
pet-mosquito,pet-snake,1
pet-mosquito,pet-tiger,2
pet-mosquito,pet-tyrannosaurus,1
pet-mosquito,pet-dirty-rat,0
pet-mosquito,pet-butterfly,0
pet-mosquito,pet-bee,0
pet-mosquito,pet-none,0
pet-otter,pet-otter,2
pet-otter,pet-pig,2
pet-otter,pet-sloth,0
pet-otter,pet-bat,1
pet-otter,pet-crab,1
pet-otter,pet-dodo,1
pet-otter,pet-dog,1
pet-otter,pet-dromedary,1
pet-otter,pet-elephant,1
pet-otter,pet-flamingo,2
pet-otter,pet-hedgehog,1
pet-otter,pet-peacock,1
pet-otter,pet-rat,1
pet-otter,pet-shrimp,1
pet-otter,pet-spider,1
pet-otter,pet-swan,1
pet-otter,pet-tabby-cat,1
pet-otter,pet-badger,1
pet-otter,pet-blowfish,1
pet-otter,pet-caterpillar,1
pet-otter,pet-camel,1
pet-otter,pet-hatching-chick,0
pet-otter,pet-giraffe,1
pet-otter,pet-kangaroo,2
pet-otter,pet-owl,1
pet-otter,pet-ox,1
pet-otter,pet-puppy,0
pet-otter,pet-rabbit,1
pet-otter,pet-sheep,1
pet-otter,pet-snail,1
pet-otter,pet-tropical-fish,1
pet-otter,pet-turtle,2
pet-otter,pet-whale,1
pet-otter,pet-bison,1
pet-otter,pet-buffalo,1
pet-otter,pet-deer,1
pet-otter,pet-dolphin,1
pet-otter,pet-hippo,1
pet-otter,pet-llama,1
pet-otter,pet-lobster,1
pet-otter,pet-monkey,2
pet-otter,pet-penguin,2
pet-otter,pet-poodle,1
pet-otter,pet-rooster,1
pet-otter,pet-skunk,1
pet-otter,pet-squirrel,1
pet-otter,pet-worm,1
pet-otter,pet-chicken,2
pet-otter,pet-cow,1
pet-otter,pet-crocodile,1
pet-otter,pet-eagle,1
pet-otter,pet-goat,1
pet-otter,pet-microbe,0
pet-otter,pet-parrot,1
pet-otter,pet-rhino,1
pet-otter,pet-scorpion,2
pet-otter,pet-seal,1
pet-otter,pet-turkey,1
pet-otter,pet-cat,1
pet-otter,pet-boar,1
pet-otter,pet-dragon,1
pet-otter,pet-fly,1
pet-otter,pet-gorilla,1
pet-otter,pet-leopard,1
pet-otter,pet-mammoth,1
pet-otter,pet-octopus,1
pet-otter,pet-sauropod,1
pet-otter,pet-snake,1
pet-otter,pet-tiger,1
pet-otter,pet-tyrannosaurus,1
pet-otter,pet-dirty-rat,0
pet-otter,pet-butterfly,2
pet-otter,pet-bee,0
pet-otter,pet-none,0
pet-pig,pet-pig,2
pet-pig,pet-sloth,2
pet-pig,pet-bat,2
pet-pig,pet-crab,2
pet-pig,pet-dodo,2
pet-pig,pet-dog,2
pet-pig,pet-dromedary,1
