team1,team2,win,team1_tier,team2_tier
pet-camel.pet-crocodile.pet-skunk,pet-badger.pet-pig.pet-turtle,0,12,7
pet-crocodile.pet-snail.pet-peacock,pet-horse.pet-snail.pet-hedgehog,0,10,6
pet-pig.pet-deer.pet-fly,pet-buffalo.pet-scorpion.pet-tropical-fish,0,11,12
pet-tyrannosaurus.pet-chicken.pet-cricket,pet-giraffe.pet-rooster.pet-chicken,0,12,12
pet-eagle.pet-skunk.pet-dolphin,pet-lobster.pet-owl.pet-dirty-rat,0,13,7
pet-cat.pet-rhino.pet-badger,pet-rabbit.pet-hippo.pet-hippo,0,14,11
pet-crocodile.pet-deer.pet-whale,pet-sloth.pet-dodo.pet-bee,0,13,3
pet-snail.pet-parrot.pet-fish,pet-worm.pet-microbe.pet-giraffe,0,8,11
pet-dragon.pet-badger.pet-otter,pet-goat.pet-monkey.pet-duck,0,10,11
pet-goat.pet-tiger.pet-mosquito,pet-crocodile.pet-microbe.pet-dodo,2,12,11
pet-mosquito.pet-mosquito.pet-blowfish,pet-lobster.pet-otter.pet-giraffe,2,5,8
pet-flamingo.pet-fly.pet-spider,pet-shrimp.pet-buffalo.pet-snail,0,10,9
pet-ladybug.pet-duck.pet-sloth,pet-shrimp.pet-mammoth.pet-mosquito,1,3,9
pet-fish.pet-chicken.pet-kangaroo,pet-dog.pet-fish.pet-mammoth,1,9,10
pet-skunk.pet-duck.pet-horse,pet-crocodile.pet-dolphin.pet-tiger,1,6,15
pet-deer.pet-mosquito.pet-kangaroo,pet-turtle.pet-microbe.pet-dodo,0,8,9
pet-bison.pet-leopard.pet-eagle,pet-worm.pet-bison.pet-dodo,0,15,10
pet-llama.pet-sloth.pet-snail,pet-elephant.pet-seal.pet-whale,1,8,11
pet-camel.pet-ox.pet-butterfly,pet-seal.pet-boar.pet-turkey,1,6,16
pet-bee.pet-butterfly.pet-peacock,pet-caterpillar.pet-puppy.pet-giraffe,0,2,9
pet-turkey.pet-goat.pet-fish,pet-butterfly.pet-ladybug.pet-dromedary,0,11,3
pet-hedgehog.pet-bison.pet-shrimp,pet-llama.pet-eagle.pet-mammoth,1,8,15
pet-dodo.pet-rooster.pet-none,pet-ant.pet-squirrel.pet-sheep,1,6,8
pet-parrot.pet-fly.pet-rabbit,pet-octopus.pet-goat.pet-bee,0,13,11
pet-flamingo.pet-mosquito.pet-giraffe,pet-fly.pet-llama.pet-kangaroo,1,6,13
pet-rabbit.pet-tiger.pet-sauropod,pet-boar.pet-none.pet-rhino,1,15,11
pet-penguin.pet-crocodile.pet-scorpion,pet-mosquito.pet-butterfly.pet-horse,2,14,2
pet-tiger.pet-tropical-fish.pet-rooster,pet-rat.pet-duck.pet-bat,0,13,5
pet-turkey.pet-owl.pet-chicken,pet-fish.pet-sloth.pet-eagle,1,13,7
